denumire,judet,adresa,telefon,nr_autorizatie,data_emiterii,tip_autorizatie,descriere_autorizatie
PROINSTAL SRL/Galați,A-6863,20.12.2019,31.01.2020,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
KEMP PROIECT SRL/Cluj,A-7715,17.02.2020,09.03.2020,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
DOCUMENTAȚII ITS EXPERT SRL,A-7498,,,04.05.2020,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
FIRE SYSTEMS PROJECT SRL/Constanța,A-6546,,,10.06.2020,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
ACPECO SRL/Brașov,A-5100,11.06.2020,17.07.2020,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
CENTRU CERCETARE ȘI PROIECTARE C.F SRL,A-7082,,,16.06.2020,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
RONO AQUA SRL/Bh,A-6421,17.08.2020,08.09.2020,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
BADEA-GUŢU ADRIAN PFA/BV,A-4746,,,03.09.2020,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
CENTRUL DE PROIECTARE ȘI INGINERIE SRL/Satu Mare,A-6913,12.10.2020,,29.09.2021,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
TOPGES PROIECT SRL/Dolj,A-4509,,,22.12.2020,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
CASA LUX CONSTRUCȚII SRL/Covasna,A-5911,"LA CERERE
26.03.2021-",,13.10.2021,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
NSM CIVIL ENGINEERING SRL/Iași,A-5319,27.08.2021,14.12.2021,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
WINTECH GROUP SRL/Iași,A-5149,31.08.2021,03.11.2021,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
INACO LEGAL SRL/Galați,A-7103,15.11.2021,07.12.2021,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
"ADN BIROU DE PROIECTARE INSTALAȚII
SRL/BUCUREȘTI",A-8441,26.04.2022,,31.01.2024,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
ALFAVAR HOLDING SRL/ BUCUREȘTI,A-8689,02.05.2022,29.08.2022,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
HURAD AB SRL/ BUCUREȘTI,A-8619,02.05.2022,29.08.2022,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
GENERAL INSTAL COMP SRL/DÂMBOVIȚA,A-4798,22.04.2015,18.08.2022,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
GALAN VIORICA PFA/ BISTRIȚA NĂSĂUD,A-8279,19.10.2022,31.10.2022,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
CONSULTING GRUP EXPERT SRL/BACĂU,A-8398,31.10.2022,08.11.2022,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
LOGIC NETWORK SRL/ARGEȘ,B-0014,,,"05.01.2023
LA CERERE",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
VALUE ENGINEERING SRL,A-5481,"30.01.2023
LA CERERE",,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
DAVID IF DANIEL PFA/DÂMBOVIȚA,A-6212,,,24.02.2023,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
ADCA CONSULTING SRL/GALAȚI,A-6287,21.04.2023,,12.10.2023,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
BUCUR V. IONUȚ Î.I./NEAMȚ,A-6096,12.05.2023,,"25.09.2024
RADIAT",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
PANDI SRL/TULCEA,A-8577,,,"13.06.2023
LA CERERE",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
BRUSTUREANU V. NECULAI ÎF/NEAMȚ,A-5697,,,"14.06.2023
RADIAT",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
ARHICRIS LOGISTIC SRL/BISTRIȚA NĂSĂUD,B-0783,06.07.2023,09.08.2023,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
TEAMWORK SOLUTIONS SRL/GIURGIU,B-2173,03.01.2024,31.01.2024,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
CREATIVE SOFT SRL/TELEORMAN,A-8620,14.12.2023,09.01.2024,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
MULTISERV SRL/OLT,A-8306,27.12.2023,,08.08.2024,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
ECPMC CONSULT & LEARNING SRL/HUNEDOARA,A-7263,,,"07.03.2024
LA CERERE",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
AXIS SECURITY SRL/ HUNEDOARA,B-1769,13.05.2024,01.10.2024,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
NORD PROIECT SA/BOTOȘANI,A-6179,,,"28.10.2024
FALIMENT",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
SMART EELCTRIC A&C SRL/DÂMBOVIȚA,B-1020,28.10.2024,25.11.2024,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
TOPOGECAD SRL/BIHOR,A-6118,,,"21.11.2024
FALIMENT",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
AFIN PROIECTARE ȘI CONSULTANȚĂ SRL/VÂLCEA,A-5440,,,29.01.2025,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
ROCA TERMOPROJECT SRL/BIHOR,B-2609,24.03.2025,,04.04.2025,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
PRO SANIT SRL/COVASNA,A-7231,,,"10.04.2025
LA CERERE",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
COSPIPE DESIGN SRL/BRAȘOV,B-2519,23.05.2025,,01.10.2025,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
EDIL PERFECT SRL/CARAȘ-SEVERIN,A-6882,15.12.2025,,26.03.2026,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
STINGOFAN SRL/CARAŞ-SEVERIN,A-4528,15.12.2025,,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
FABER STEIN HAUS SRL/MUREŞ,B-1147,21.01.2026,,,,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
MODUL PROIECT SA/TELEORMAN,B-1490,,,"25.03.2026
INSOLVENȚĂ",,ventilare_proiectare,Proiectare ventilare fum si gaze fierbinti
ALSTING SERVICII SRL,ALBA,"Alba Iulia, B-dul Republicii, nr.28",0258/819145,A-4390,22.09.2014,ignifugare,Ignifugare materiale combustibile
CEZAR ȘI ȘTEFAN SRL,ALBA,"Sat. Hăpria, com. Ciugud, str. Plopilor, nr. 48",0762/093529,B-0547,24.03.2021,ignifugare,Ignifugare materiale combustibile
SC DIADUCU SRL,ALBA,"Teiul, str. Lucian Blaga, nr.5",0745/542924,A-0957,11.05.2011,ignifugare,Ignifugare materiale combustibile
HENTEA CRISTIAN P.F.A.,ALBA,"Blaj, Str. Ion Heliade Rădulescu, nr. 8A",0729032080,B-2560,21.04.2023,ignifugare,Ignifugare materiale combustibile
IULY CUGIR SRL,ALBA,"Vinerea, oraș Cugir, str. Principala, nr. 388",0258750565,A-8353,24.08.2018,ignifugare,Ignifugare materiale combustibile
"ÎNTREPRINDEREA DE PRODUSE
CHIMICE SRL",ALBA,"Bărăbanţ, municipiul Alba Iulia, str. Haţeg, nr.41",0770/309615,A-3455,05.06.2013,ignifugare,Ignifugare materiale combustibile
LIDER CHEMICALS SRL,ALBA,"Bărăbanț, str. Gării, nr.10,",0770307789,B-2028,28.09.2022,ignifugare,Ignifugare materiale combustibile
MAXIM SRL,ALBA,"Alba Iulia, str. Traian, nr.62",0258/812801,A-3115,23.01.2013,ignifugare,Ignifugare materiale combustibile
"VALGER LEMN SRL
Suspendat cu Raport de suspendare nr.
5.063.436/1 din 30.12.2025",ALBA,"Blaj, Str. Lt. N.V. Popa, nr. 8, Hala 2",0358401127,B-2944,23.08.2023,ignifugare,Ignifugare materiale combustibile
SC AC ME COMPANY SRL,ARAD,"Arad, str. Bicaz, nr.1-5",0257/212241,A-0592,18.01.2011,ignifugare,Ignifugare materiale combustibile
AMAHOUSE SRL,ARAD,"Arad, str. Centura Nord, DN 7 km 541+100 cf
extras CF nr.310337",0357/100051,A-5134,10.09.2015,ignifugare,Ignifugare materiale combustibile
ANARO TOP CLEAN SRL,ARAD,"Târnova, nr. 712",0754658132,B-2491,30.03.2023,ignifugare,Ignifugare materiale combustibile
AXTROM TECK SRL,ARAD,"Arad, Bulevardul G-ral Dragalina, nr. 4, ap. 7a",0730632415,A-8880,01.04.2019,ignifugare,Ignifugare materiale combustibile
AZ ONPOINT CONSTRUCT SRL,ARAD,"Arad, str. Poetului, nr. 1C, bl. R13, et. 5, ap. 48",0741052150,B-5262,19.06.2025,ignifugare,Ignifugare materiale combustibile
CLEVER SOLUTIONS POINT SRL,ARAD,"Arad, str. Renașterii, nr. 57B",0741013800,B-4058,05.07.2024,ignifugare,Ignifugare materiale combustibile
ENERGOTEC INDUSTRIES SRL,ARAD,"Arad, str. Nasaud, nr. 15A",0722343025,A8214,11.07.2018,ignifugare,Ignifugare materiale combustibile
SC FRANAU-COM SRL,ARAD,"Vladimirescu, str. Iancu Jianu, nr.21",0740/409442,A-1206,03.08.2011,ignifugare,Ignifugare materiale combustibile
"IGNISERV SRL
Autorizat ca:
SC IGNISERV SRL","ARAD
ARAD","Arad, str. Gheorghe Doja, nr. 88
Vladimirescu, str.Nicolae Bălcescu, nr17","0745257550
0745257550","A-8907
A-0119","17.04.2019
28.06.2010",ignifugare,Ignifugare materiale combustibile
OCTAL CNC SRL,ARAD,"Andrei Șaguna, com. Zimandu Nou, nr. 146B",0756277151,B-2241,13.01.2023,ignifugare,Ignifugare materiale combustibile
PAB ROMANIA SRL,ARAD,"Arad, str. Zona Industrială Micălaca Est, nr. FN",0257279988,B-0228,09.11.2020,ignifugare,Ignifugare materiale combustibile
ACTIV CONSULT PSI SRL-D,ARGEŞ,"Mioveni, str.Unirii, bl.P5, sc.B, et.1, ap.7",0747/513100,A-5956,09.06.2016,ignifugare,Ignifugare materiale combustibile
ALYON BUSINESS CONCEPT SRL,ARGEȘ,"Pitești, str. Gârlei, nr.44A",0766062000,A-7321,21.08.2017,ignifugare,Ignifugare materiale combustibile
AND SECOM INTEXIM SRL,ARGEȘ,"Câmpulung, str. G-ral.Dragalina, nr.6A, bl.D1,
sc.F, et.2, ap.5",0744/708070,A-7081,30.05.2017,ignifugare,Ignifugare materiale combustibile
ARGEDAVA CONSTRUCT SRL,ARGEȘ,"Pitești, Bd. Republicii, nr.148, corp C2, cam.102,
et.1",0733237508,B-3863,20.05.2024,ignifugare,Ignifugare materiale combustibile
SC ARGEŞ INVEST GRUP SRL,ARGEŞ,"Piteşti, str. Tudor Vladimirescu, bl.U3, et.6, ap.24",0722/227391,A-1426,19.10.2011,ignifugare,Ignifugare materiale combustibile
BUNTALOZI 2004 SRL,ARGEŞ,"Pitești, str. Ionescu Gion, bl. A7, sc. D, parter",0348430926,B-0797,23.06.2021,ignifugare,Ignifugare materiale combustibile
"CMC CONSTRUCȚII INTERGRUP
SRL",ARGEȘ,"Pitești, str. Făgăraș, Zona Nord, bl.D3, sc.A, et.4,
ap.18",0723/286119,A-6172,01.08.2016,ignifugare,Ignifugare materiale combustibile
COROLA&EUFRAT SRL,ARGEŞ,"Rucăr, com. Rucăr",0248/542477,A-3870,14.01.2014,ignifugare,Ignifugare materiale combustibile
EDCO PREST BUILDING SRL,ARGEŞ,"Sat Moșoaia, com. Moșoaia, nr. 140",0733029902,B-0381,11.01.2021,ignifugare,Ignifugare materiale combustibile
SC FILA PREST CONSTRUCT SRL,ARGEŞ,"Bradu, str. Petrochimiştilor, nr. Km 5",0248/615230,A-0956,11.05.2011,ignifugare,Ignifugare materiale combustibile
GENERAL MUNTENIA AG SRL,ARGEŞ,"Piteşti, B-dul Republicii, bl.35, sc.B, ap.2,
camera 1",0248/210457,A-4135,09.05.2014,ignifugare,Ignifugare materiale combustibile
SC GEO&ADI MAESTRO SRL,ARGEŞ,"Drăganu, nr.28",0751/175559,A-0394,28.10.2010,ignifugare,Ignifugare materiale combustibile
SC IMD – MAR REDONDO SRL,ARGEŞ,"Sat Valea Mare – Podgoria, oraş Ştefăneşti",0721/858578,A-1294,02.09.2011,ignifugare,Ignifugare materiale combustibile
"IMPERA ART CONSTRUCT SRL
Autorizată la:",ARGEȘ,"Sat. Călinești, com. Călinești, nr. 752
Topoloveni, Oraș Topoloveni, Calea București,
nr.80, bl.CB3, sc.A, et.2, ap.5,","0248/667611
0745/158500","B-0968
A-9498","26.08.2021
27.11.2019",ignifugare,Ignifugare materiale combustibile
SC MAREDI SRL,ARGEŞ,"Piteşti, str. Găvenii, nr. 24",0248/236200,A-2210,18.05.2012,ignifugare,Ignifugare materiale combustibile
MUNTENIA FIRE STING SRL,ARGEŞ,"Lerești, Str. General Vasile Milea, nr. 35",0751187699,B-2914,11.08.2023,ignifugare,Ignifugare materiale combustibile
SC NEW-SOLITON SRL,ARGEŞ,"Călineşti, nr.751",0248/667611,A-0855,12.04.2011,ignifugare,Ignifugare materiale combustibile
PRACTO GENERAL INSTAL SRL,ARGEŞ,"Pitești, Str. Ion Agârbiceanu, nr. 4",0741935987,B-4754,24.02.2025,ignifugare,Ignifugare materiale combustibile
PREST INCON SOLUTIONS SRL,ARGEŞ,"Pitești, Str. Valea Geamăna, nr. 84",0786428498,B-3541,06.03.2024,ignifugare,Ignifugare materiale combustibile
PSI CONS-EXPERT OFFICE SRL,ARGEŞ,"Mioveni, str. Nicolae Racoviceanu, nr. 105,
cartier Racoviță",0740048752,A-7681,23.01.2018,ignifugare,Ignifugare materiale combustibile
PUBLI-CONS DESIGN SRL,ARGEŞ,Comuna Albota,0248/233237,A-5639,15.03.2016,ignifugare,Ignifugare materiale combustibile
SECOP ADN SRL,ARGEŞ,"Câmpulung, str. Frații Golești, nr.72",0248/510628,A-5640,15.03.2016,ignifugare,Ignifugare materiale combustibile
SILVORA TERA SRL,ARGEȘ,"Merișani, com. Merișani, nr.1543","0726/015696
0348/409601",A-6498,24.11.2016,ignifugare,Ignifugare materiale combustibile
SC STING DD IGNIFUG SRL,ARGEŞ,"Piteşti, str. George Sion, nr.5",0723/675718,A-1107,01.07.2011,ignifugare,Ignifugare materiale combustibile
"STINGĂTORUL PREST SERV 2008
SRL",ARGEȘ,"Curtea de Argeș, Ulița Poștei, nr. 10P, camera 1",0752683307,B-0333,16.12.2020,ignifugare,Ignifugare materiale combustibile
SC TEO SOLO IGNIFUG SRL,ARGEŞ,"Sat Albeşti, comuna Albeştii de Muscel, nr.467",0741/280275,A-2609,03.09.2012,ignifugare,Ignifugare materiale combustibile
"TOTAL ELECTRIC TOP CONCEPT
SRL",ARGEȘ,"Câmpulung, str. Doctor Nicolae Fălcoianu, nr. 32
A",0748902216,A-7854,15.03.2018,ignifugare,Ignifugare materiale combustibile
AGRICONSTRUCT SRL,BACĂU,"Bacău, str. Brândușei, nr.50",0234/586600,A-5649,16.03.2016,ignifugare,Ignifugare materiale combustibile
SC ALCONEP SRL,BACĂU,"Tg. Ocna, str. Costache Negri, nr.142",0234/344066,A-0188,04.08.2010,ignifugare,Ignifugare materiale combustibile
CONDEP SRL,BACĂU,"Onești, str. Republicii, nr.66,bl.66,sc.B, et.1,
ap.18",0744/805638,A-5661,18.03.2016,ignifugare,Ignifugare materiale combustibile
"SC CONEXTRUST SA
Autorizat la:",BACĂU,"Blăgești, str. Sălciilor, nr.1
Bacău, str. Ioniţă Sandu Sturza, nr.78",0234/576702,"A-5555
A-1619","16.02.2016
16.12.2011",ignifugare,Ignifugare materiale combustibile
DARLEOT GROUP SRL,BACĂU,"Sat Gârlenii de Sus, comuna Gârleni, nr. 245, str.
Tineretului",0724002522,B-4507,19.11.2024,ignifugare,Ignifugare materiale combustibile
SC ELDACOS CON SRL,BACĂU,Răcăciuni,0766/669476,A-2254,24.05.2012,ignifugare,Ignifugare materiale combustibile
ERGIO BY MERLUȘCĂ SRL,BACĂU,"Comănești, oraș Comănești, str. Cireșoaia, nr.
233, Cartier Vermești",0234374131,B-5508,11.09.2025,ignifugare,Ignifugare materiale combustibile
AZIA PARK SRL,BACĂU,"Filipești, Str. Radu Beligan, nr. 56",0234/215838,B-3107,09.10.2023,ignifugare,Ignifugare materiale combustibile
"SC GENERAL CONSTRUCŢII
TEHNIC PLUS SRL",,"Filipeşti, comuna Filipeşti, nr. 288",,A-1696,16.01.2012,ignifugare,Ignifugare materiale combustibile
GSC SELVIR SRL,BACĂU,"Bacău, str. Milcov, nr. 3-5",0744/658017,A-4855,15.05.2015,ignifugare,Ignifugare materiale combustibile
I.B.H. INVEST SRL,BACĂU,"Bacău, str. Gheorghe Donici, nr.2",0756/439605,A-5663,18.03.2016,ignifugare,Ignifugare materiale combustibile
MC SOLUȚII PROFESIONALE SRL,BACĂU,"Onești, Calea Bacăului, nr. 30",0752996484,A-8906,17.04.2019,ignifugare,Ignifugare materiale combustibile
PROPAS SRL,BACĂU,"Bacău, str. Tazlăului, nr. 3, scara A, ap. 3",0758587979,B-2696,31.05.2023,ignifugare,Ignifugare materiale combustibile
ROMCONSTRUCTOR SA,BACĂU,"Bacău, str. Ionita Sandu Sturza, nr.78",0374/008775,A-3123,29.01.2013,ignifugare,Ignifugare materiale combustibile
RTU IGNIFUG SRL,BACĂU,"Bacău, str. Siliștei, nr.1",0745/076888,A-6364,11.10.2016,ignifugare,Ignifugare materiale combustibile
"SILAV C. VASILE ÎNTREPRINDERE
INDIVIDUALĂ",BACĂU,"Bacău, str. Letea, nr.18, bl.18, sc.B, et.4, ap.18",0751/148128,A-2261,25.05.2012,ignifugare,Ignifugare materiale combustibile
"TECHNOSMART
ELECTROCONSTRUCT SRL",BACĂU,"Sat Măgura, com. Măgura, str. Colina Măgurii,
bl. B4,sc. B, et. P",0757701701,B-5078,15.05.2025,ignifugare,Ignifugare materiale combustibile
TEȘULĂ IOAN Î.I.,BACĂU,"Mănăstirea Cașin, Str. Gheorghe Ștefan Voievod,
nr. 207",0771511360,B-3672,05.04.2024,ignifugare,Ignifugare materiale combustibile
SC T&G SISTEM PROTECTION SRL,BACĂU,"Moineşti, str. Tudor Vladimirescu, bl.D3, ap.9",0234/365543,A-1167,25.07.2011,ignifugare,Ignifugare materiale combustibile
"TIBDECSOL CONS SRL
Autorizat la:","BACĂU
VRANCEA","Onești, Str. Fântânele, nr. 1
Loc. Panciu, Oraș Panciu, str. Ursoi, nr. 13",0744616587,"B-3343
A-8077","08.01.2024
17.05.2018",ignifugare,Ignifugare materiale combustibile
SC TOPO-SISTEM SRL,BACĂU,"Moineşti, str. Vasile Alecsandri, nr.1, bl.1, et.P,
ap.14",0234/367934,A-1804,16.02.2012,ignifugare,Ignifugare materiale combustibile
XILOPAL SRL,BACĂU,"Sat Făget, comuna Ghimeș-Făget",0234/70070,A-6576,23.12.2016,ignifugare,Ignifugare materiale combustibile
ASPLENIUM CONSTRUCT SRL,BIHOR,"Oradea, str. Iuliu Maniu, nr.28, ap. 3",0359/466851,A-3425,29.05.2013,ignifugare,Ignifugare materiale combustibile
CHINTOFLOR CONSTRUCT SRL,BIHOR,"Oradea, Bd. Decebal, nr. 12, bl. PB98/A, ap. 5",0743022263,B-3196,30.10.2023,ignifugare,Ignifugare materiale combustibile
COSMIMAR PRESTCOM SRL,BIHOR,"Oradea, str. Lunei, nr.10, ap.2",0259/434954,A-3373,30.04.2013,ignifugare,Ignifugare materiale combustibile
CV ELECTRO EUROPA SRL,BIHOR,"Oradea, Str. Theodor Speranția, nr. 1, bl. PB10,
ap. 2",0744874357,B-3491,19.02.2024,ignifugare,Ignifugare materiale combustibile
DALUVA STING SRL,BIHOR,"Oradea, str. Crângului, nr. 20",0745339206,B-1025,02.09.2021,ignifugare,Ignifugare materiale combustibile
SC EUROPROMT SERVIS SRL,BIHOR,"Sânmartin, com Sânmartin, str. Ion Creangă, nr. 3",0721/907580,A-0313,05.10.2010,ignifugare,Ignifugare materiale combustibile
SC FLORIVAS SRL,BIHOR,"Sat. Câmpani, nr.239",0259/406860,A-0121,29.06.2010,ignifugare,Ignifugare materiale combustibile
IGNA CONSTRUCT SRL,BIHOR,"Oradea, Str. Alexandru Donici, nr. 18",0745643009,B-2061,13.10.2022,ignifugare,Ignifugare materiale combustibile
SC INTERSTING SRL,BIHOR,"Oradea, str. Ştefan Zweig, nr.10A,",0259/475586,A-0138,08.07.2010,ignifugare,Ignifugare materiale combustibile
S.C. MAXSTING SRL,BIHOR,"Oradea, Str. Virgil Maxim, nr. 25",0740539207,A-8045,08.05.2018,ignifugare,Ignifugare materiale combustibile
SILVOTOP SRL,BIHOR,"Oradea, str. Republicii nr. 45, ap. 2",0745262912,B-1606,18.04.2022,ignifugare,Ignifugare materiale combustibile
SC STINGPROT SRL,BIHOR,"Oşorhei, comuna Oşorhei, nr.279B",0259/467269,A-0959,16.05.2011,ignifugare,Ignifugare materiale combustibile
SC STING ZOLT SRL,BIHOR,"Aştileu, com. Aştileu, nr.250",0745/572149,A-1051,15.06.2011,ignifugare,Ignifugare materiale combustibile
SUBITO SRL,BIHOR,"Oradea, str. Alexandru Odobescu, nr.8, bl.PB67,
ap.6",0743/183644,A-3441,30.05.2013,ignifugare,Ignifugare materiale combustibile
TAMADA CONST SRL,BIHOR,"Marghita, str. Tudor Vladimirescu, nr.95B",0742/285429,A-3579,24.07.2013,ignifugare,Ignifugare materiale combustibile
SC CIPT-PARTENER SRL,"BISTRIŢA-
NĂSĂUD","Bistriţa, str. George Enescu, nr.19",0263/234040,A-1777,06.02.2012,ignifugare,Ignifugare materiale combustibile
DALYOS FLY SRL,"BISTRIŢA-
NĂSĂUD","Bistriţa, str. Libertății, nr. 51B",0758156943,B-5820,05.01.2026,ignifugare,Ignifugare materiale combustibile
FAR FOUNDATION SRL,"BISTRIȚA
NĂSĂUD","Sat Rodna, Comuna Rodna, str. Grănicerilor,
nr.791",0263/708010,A-7478,11.10.2017,ignifugare,Ignifugare materiale combustibile
FLAELY GRUP SRL,"BISTRIȚA
NĂSĂUD","Municipiul Bistrița, cartierul Sigmir, nr. 25","0722629038
0263219854",A-7945,03.04.2018,ignifugare,Ignifugare materiale combustibile
GENERALSTING SRL,"BISTRIŢA-
NĂSĂUD","Şieu-Măgheruş, nr.170A",0740/470481,A-3258,12.03.2013,ignifugare,Ignifugare materiale combustibile
INTER SOMEȘ SRL,"BISTRIŢA-
NĂSĂUD","Sat Sant, comuna Sant, nr.940",0761669129,B-3835,14.05.2024,ignifugare,Ignifugare materiale combustibile
SC M.I.S. GRUP SRL,"BISTRIŢA-
NĂSĂUD","Anie, com. Maieru, str. Principală, nr.79",0263/377779,A-0493,02.12.2010,ignifugare,Ignifugare materiale combustibile
MRG CONSTRUCT BN SRL,"BISTRIŢA-
NĂSĂUD","Bistriţa, str. Colibiței, nr. 32, sc. A, ap. 2",0741918011,B-5302,02.07.2025,ignifugare,Ignifugare materiale combustibile
SC RECORD SRL,"BISTRIŢA-
NĂSĂUD","Bistriţa, str. Subcetate, nr.10C",0263/232746,A-2424,09.07.2012,ignifugare,Ignifugare materiale combustibile
SILVANIA SORTILEMN SRL,"BISTRIŢA-
NĂSĂUD","Sat Lunca Ilvei, com. Lunca Ilvei, str. Fabricii,
nr. 1, cam. 2","0263378010
0263378413",B-1050,14.09.2021,ignifugare,Ignifugare materiale combustibile
SPAN IGNIFUG SRL,"BISTRIŢA-
NĂSĂUD","Valea Borcutului, oraș Sângeroz-Băi, nr. 228/B",0753487316,B-0413,01.02.2021,ignifugare,Ignifugare materiale combustibile
TIN EXPERT CONSTRUCT SRL,"BISTRIŢA-
NĂSĂUD","Tureac, com. Tiha Bârgăului, str. Principală, nr.
104",0740383153,B-2974,30.08.2023,ignifugare,Ignifugare materiale combustibile
TOMOROGA CONSTRUCT SRL,"BISTRIŢA-
NĂSĂUD","Tureac, com. Tiha Bârgăului, str. Principală, nr.
59",0740225554,B-0845,16.07.2021,ignifugare,Ignifugare materiale combustibile
ALL PERFECT CONSULTING SRL,BOTOŞANI,"Botoşani, str. Octav Onicescu, nr.4, sc.C, et.2,
ap.11",0742/191688,A-2710,26.09.2012,ignifugare,Ignifugare materiale combustibile
ANCUȚA VASILE-DANIEL PFA,BOTOȘANI,"Dorohoi, str. Olteniei, nr.2",0741222923,B-2832,17.07.2023,ignifugare,Ignifugare materiale combustibile
ASICONS SRL,BOTOŞANI,"Botoşani, Calea Naţională, nr.70, bl.G5, sc.A,
et.4, ap.11",0741/232295,A-4626,10.02.2015,ignifugare,Ignifugare materiale combustibile
"BAHM CONSTRUCȚII CIVILE ȘI
INDUSTRIALE SRL",BOTOŞANI,"Botoșani, str. Manolești Deal, nr. 15A",0746330136,B-5744,26.11.2025,ignifugare,Ignifugare materiale combustibile
IGNIPROF STING SRL,BOTOŞANI,"Botoşani, Aleea General Gheorghe Avrămescu,
nr. 31, sc. B, et. 3, ap. 15",0741080379,B-4335,02.10.2024,ignifugare,Ignifugare materiale combustibile
SÎRGHI MARIAN PFA,BOTOȘANI,"Botoșani, str. Vârnav, nr.3, sc.A, ap.4",0741080379,B-2031,28.09.2022,ignifugare,Ignifugare materiale combustibile
SERVICII PROFI SRL,BOTOȘANI,"Botoșani, Aleea Dimitrie Brândză, nr. 2, sc. D, et.
3, ap. 10",0741339099,B-4813,05.03.2025,ignifugare,Ignifugare materiale combustibile
S.C. STING S.R.L.,BOTOŞANI,"Botoșani, str. Ștefan cel Mare, nr. 31",0231/536899,A-1041,07.06.2011,ignifugare,Ignifugare materiale combustibile
ȘTIRBU MATEI ALEXANDRU ÎI,BOTOŞANI,"Concești, Str. Bisericii, nr. 6",0740512481,B-1846,05.08.2022,ignifugare,Ignifugare materiale combustibile
VALEX SERV SRL,BOTOȘANI,"Botoșani, str. I.C. Brătianu, nr. 31",0231511585,B-0158,01.10.2020,ignifugare,Ignifugare materiale combustibile
SC VICTOR CONSTRUCT SRL,BOTOŞANI,"Botoşani, str.Ion Pillat, nr.18",0231/551158,A-0221,18.08.2010,ignifugare,Ignifugare materiale combustibile
BATLU PREST SRL,BRĂILA,"Brăila, Calea Galați, nr. 168A",0743470995,B-2941,22.08.2023,ignifugare,Ignifugare materiale combustibile
BRIOENFYS SRL,BRĂILA,"Sat Cazacu, com. Cazacu, Str. Ficușilor, nr. 20",0740919574,B-4348,04.10.2024,ignifugare,Ignifugare materiale combustibile
CASIDO SRL,BRĂILA,"Brăila, str. Goleşti, nr.21",0239/611919,A-4431,21.10.2014,ignifugare,Ignifugare materiale combustibile
SC CONCIVIA SA,BRĂILA,"Brăila, Calea Călăraşilor, nr.161, judeţul Brăila",0239/616281,A-1936,20.03.2012,ignifugare,Ignifugare materiale combustibile
DOFLOM SRL,BRĂILA,"Brăila, Șos. Baldovinești, nr. 97",0747774900,B-3513,22.02.2024,ignifugare,Ignifugare materiale combustibile
FLYBRICK SRL,BRĂILA,"Brăila, Str. Plutinei, nr. 62, lot. 1, parter, ap. 1",0747451655,B-3021,08.09.2023,ignifugare,Ignifugare materiale combustibile
SC IGNIFUG SRL,BRĂILA,"Brăila, str. Frumoasă, nr.77","0339/101045
0740/899950",A-0194,09.08.2010,ignifugare,Ignifugare materiale combustibile
LARAPEU CONSTRUCT SRL,BRĂILA,"Șuțești, Str. Ianca, nr. 47",0799760580,B-3198,08.11.2023,ignifugare,Ignifugare materiale combustibile
